model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[1.0],1.0,0.0,0.0
vcl,2,"[1.0, 0.8552736982643525]",0.9276368491321764,0.0,0.0
vcl,3,"[1.0, 0.8544726301735648, 0.9252336448598131]",0.9265687583444592,0.0,0.0
vcl,4,"[1.0, 0.854739652870494, 0.9255006675567423, 0.9001335113484646]",0.9200934579439252,0.0,0.0
vcl,5,"[1.0, 0.854739652870494, 0.9260347129506008, 0.8998664886515354, 0.9172229639519359]",0.9195727636849134,2.814252336448598,-1.814252336448598
vcl_random_200,1,[1.0],1.0,0.0,0.0
vcl_random_200,2,"[1.0, 0.7289719626168224]",0.8644859813084111,0.0,0.0
vcl_random_200,3,"[1.0, 0.7276368491321762, 0.6910547396528705]",0.8062305295950155,0.0,0.0
vcl_random_200,4,"[1.0, 0.7289719626168224, 0.6899866488651535, 0.9004005340453939]",0.8298397863818424,0.0,0.0
vcl_random_200,5,"[1.0, 0.7276368491321762, 0.6873164218958612, 0.9012016021361816, 0.9153538050734312]",0.84630173564753,2.585636404094348,-1.5856364040943478
vcl_k-center_200,1,[1.0],1.0,0.0,0.0
vcl_k-center_200,2,"[1.0, 0.7004005340453938]",0.8502002670226969,0.0,0.0
vcl_k-center_200,3,"[1.0, 0.6998664886515353, 0.5898531375166889]",0.7632398753894081,0.0,0.0
vcl_k-center_200,4,"[1.0, 0.7012016021361815, 0.5927903871829105, 0.8742323097463285]",0.7920560747663552,0.0,0.0
vcl_k-center_200,5,"[1.0, 0.7006675567423231, 0.5901201602136181, 0.8742323097463285, 0.859279038718291]",0.8048598130841121,2.5094681797952827,-1.5094681797952827
vcl_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_pca-k-center_200,2,"[1.0, 0.6475300400534045]",0.8237650200267023,0.0,0.0
vcl_pca-k-center_200,3,"[1.0, 0.6493991989319092, 0.5086782376502003]",0.7193591455273699,0.0,0.0
vcl_pca-k-center_200,4,"[1.0, 0.64913217623498, 0.5089452603471295, 0.8787716955941255]",0.7592122830440587,0.0,0.0
vcl_pca-k-center_200,5,"[1.0, 0.64913217623498, 0.508411214953271, 0.87716955941255, 0.867022696929239]",0.7803471295060079,2.422730307076101,-1.4227303070761017
vcl_ewc,1,[1.0],1.0,0.0,0.0
vcl_ewc,2,"[1.0, 0.8165554072096128]",0.9082777036048064,0.0,0.0
vcl_ewc,3,"[1.0, 0.8162883845126836, 0.9332443257676902]",0.9165109034267912,0.0,0.0
vcl_ewc,4,"[1.0, 0.8162883845126836, 0.9332443257676902, 0.9137516688918558]",0.9158210947930574,0.0,0.0
vcl_ewc,5,"[1.0, 0.8162883845126836, 0.9327102803738317, 0.9134846461949265, 0.9268357810413885]",0.917863818424566,2.7826991544281263,-1.7826991544281263
vcl_ewc_random_200,1,[1.0],1.0,0.0,0.0
vcl_ewc_random_200,2,"[1.0, 0.7356475300400535]",0.8678237650200267,0.0,0.0
vcl_ewc_random_200,3,"[1.0, 0.7367156208277703, 0.9017356475300401]",0.8794837561192702,0.0,0.0
vcl_ewc_random_200,4,"[1.0, 0.7348464619492657, 0.9004005340453939, 0.841388518024032]",0.8691588785046729,0.0,0.0
vcl_ewc_random_200,5,"[1.0, 0.7345794392523365, 0.9033377837116154, 0.8429906542056075, 0.9006675567423231]",0.8763150867823765,2.6818869603916333,-1.681886960391633
vcl_ewc_k-center_200,1,[1.0],1.0,0.0,0.0
vcl_ewc_k-center_200,2,"[1.0, 0.7073431241655541]",0.8536715620827771,0.0,0.0
vcl_ewc_k-center_200,3,"[1.0, 0.7121495327102804, 0.5188251001335114]",0.7436582109479306,0.0,0.0
vcl_ewc_k-center_200,4,"[1.0, 0.7140186915887851, 0.5174899866488651, 0.9006675567423231]",0.7830440587449934,0.0,0.0
vcl_ewc_k-center_200,5,"[1.0, 0.7145527369826435, 0.5158878504672897, 0.9009345794392524, 0.9060080106809079]",0.8074766355140188,2.488851802403204,-1.4888518024032042
vcl_ewc_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[1.0, 0.7858477970627503]",0.8929238985313752,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[1.0, 0.7858477970627503, 0.5041388518024033]",0.7633288829550512,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[1.0, 0.7861148197596796, 0.5049399198931909, 0.8469959946595461]",0.7845126835781041,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[1.0, 0.7861148197596796, 0.5068090787716956, 0.8467289719626169, 0.8325767690253671]",0.7944459279038718,2.5485091232754784,-1.5485091232754784
coreset_only_random_200,1,[0.9695675387079552],0.9695675387079552,0.0,0.0
coreset_only_random_200,2,"[0.8115323011211959, 0.9343124165554072]",0.8729223588383015,0.0,0.0
coreset_only_random_200,3,"[0.5002669514148425, 0.5172229639519359, 0.9538050734312417]",0.6570983295993399,0.0,0.0
coreset_only_random_200,4,"[0.8320875600640684, 0.5036048064085448, 0.8825100133511349, 0.9393858477970628]",0.7893970569052027,0.0,0.0
coreset_only_random_200,5,"[0.38547784303256805, 0.5837116154873164, 0.9089452603471295, 0.8875834445927904, 0.9594125500667556]",0.745026142705312,2.4095029862442203,-1.4095029862442203
coreset_only_k-center_200,1,[0.9773091297383876],0.9773091297383876,0.0,0.0
coreset_only_k-center_200,2,"[0.9524826481580352, 0.9385847797062751]",0.9455337139321552,0.0,0.0
coreset_only_k-center_200,3,"[0.8288841430859584, 0.7343124165554072, 0.8862483311081442]",0.8164816302498367,0.0,0.0
coreset_only_k-center_200,4,"[0.9279231179925254, 0.8814419225634179, 0.6363150867823765, 0.7810413885180241]",0.806680378964086,0.0,0.0
coreset_only_k-center_200,5,"[0.8774693005872931, 0.8606141522029372, 0.8734312416555408, 0.8678237650200267, 0.8696929238985314]",0.8698062766728658,2.6540100985332287,-1.654010098533229
coreset_only_pca-k-center_200,1,[0.9754404698344902],0.9754404698344902,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.910037373198078, 0.9364485981308411]",0.9232429856644596,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.9079017618793379, 0.5882510013351134, 0.9249666221628838]",0.8070397951257785,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.8603844100373732, 0.4998664886515354, 0.8205607476635514, 0.9062750333778371]",0.7717716699325743,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.7819006940736786, 0.4998664886515354, 0.7377837116154873, 0.8977303070761015, 0.9148197596795727]",0.766420192219275,2.60388885067377,-1.60388885067377
vcl_class_balanced_200,1,[1.0],1.0,,
vcl_class_balanced_200,2,"[1.0, 0.6937249666221629]",0.8468624833110814,,
vcl_class_balanced_200,3,"[1.0, 0.7009345794392523, 0.5190921228304406]",0.7400089007565643,,
