model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[1.0],1.0,0.0,0.0
vcl,2,"[1.0, 0.8181575433911883]",0.909078771695594,0.0,0.0
vcl,3,"[1.0, 0.8170894526034713, 0.9327102803738317]",0.9165999109924344,0.0,0.0
vcl,4,"[1.0, 0.8184245660881175, 0.9332443257676902, 0.9124165554072096]",0.9160213618157544,0.0,0.0
vcl,5,"[1.0, 0.817890520694259, 0.9332443257676902, 0.912950600801068, 0.9225634178905207]",0.9173297730307076,2.7836893635959057,-1.7836893635959057
vcl_random_200,1,[1.0],1.0,0.0,0.0
vcl_random_200,2,"[1.0, 0.6966622162883845]",0.8483311081441922,0.0,0.0
vcl_random_200,3,"[1.0, 0.7020026702269693, 0.8611481975967957]",0.8543836226079217,0.0,0.0
vcl_random_200,4,"[1.0, 0.7006675567423231, 0.848064085447263, 0.8769025367156208]",0.8564085447263017,0.0,0.0
vcl_random_200,5,"[1.0, 0.7033377837116155, 0.8344459279038718, 0.8769025367156208, 0.9209612817089453]",0.8671295060080106,2.630919003115265,-1.630919003115265
vcl_k-center_200,1,[1.0],1.0,0.0,0.0
vcl_k-center_200,2,"[1.0, 0.7447263017356476]",0.8723631508678238,0.0,0.0
vcl_k-center_200,3,"[1.0, 0.7465954606141522, 0.5340453938584779]",0.7602136181575435,0.0,0.0
vcl_k-center_200,4,"[1.0, 0.7449933244325768, 0.5321762349799734, 0.8758344459279038]",0.7882510013351135,0.0,0.0
vcl_k-center_200,5,"[1.0, 0.7455273698264352, 0.5292389853137517, 0.8766355140186916, 0.8720961281708945]",0.8046995994659547,2.526702269692924,-1.5267022696929242
vcl_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_pca-k-center_200,2,"[1.0, 0.737516688918558]",0.868758344459279,0.0,0.0
vcl_pca-k-center_200,3,"[1.0, 0.7409879839786382, 0.6256341789052069]",0.788874054294615,0.0,0.0
vcl_pca-k-center_200,4,"[1.0, 0.7428571428571429, 0.6285714285714286, 0.8955941255006675]",0.8167556742323098,0.0,0.0
vcl_pca-k-center_200,5,"[1.0, 0.7428571428571429, 0.6237650200267023, 0.8867823765020026, 0.8560747663551402]",0.8218958611481977,2.5660102358700487,-1.5660102358700487
vcl_ewc,1,[1.0],1.0,0.0,0.0
