model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9773],0.9773,0.0,0.0
vcl,2,"[0.952, 0.9661]",0.95905,0.0,0.0
vcl,3,"[0.9388, 0.9594, 0.9625]",0.9535666666666668,0.0,0.0
vcl,4,"[0.9193, 0.928, 0.9567, 0.9585]",0.940625,0.0,0.0
vcl,5,"[0.818, 0.9045, 0.9183, 0.9433, 0.9543]",0.90768,2.871579166666667,-1.8715791666666668
vcl_random_200,1,[0.972],0.972,0.0,0.0
vcl_random_200,2,"[0.9615, 0.9611]",0.9613,0.0,0.0
vcl_random_200,3,"[0.9526, 0.9502, 0.9591]",0.9539666666666666,0.0,0.0
vcl_random_200,4,"[0.9444, 0.9367, 0.9488, 0.9507]",0.94515,0.0,0.0
vcl_random_200,5,"[0.9321, 0.9222, 0.9401, 0.9442, 0.957]",0.93912,2.8738416666666664,-1.8738416666666664
vcl_k-center_200,1,[0.9715],0.9715,0.0,0.0
vcl_k-center_200,2,"[0.9664, 0.9604]",0.9634,0.0,0.0
vcl_k-center_200,3,"[0.9649, 0.9456, 0.9566]",0.9557,0.0,0.0
vcl_k-center_200,4,"[0.9505, 0.9395, 0.9495, 0.9467]",0.94655,0.0,0.0
vcl_k-center_200,5,"[0.944, 0.9197, 0.9393, 0.9284, 0.9558]",0.93744,2.878125,-1.878125
vcl_pca-k-center_200,1,[0.9681],0.9681,0.0,0.0
vcl_pca-k-center_200,2,"[0.9595, 0.9612]",0.96035,0.0,0.0
vcl_pca-k-center_200,3,"[0.9422, 0.953, 0.9588]",0.9513333333333334,0.0,0.0
vcl_pca-k-center_200,4,"[0.9452, 0.9415, 0.9548, 0.9588]",0.950075,0.0,0.0
vcl_pca-k-center_200,5,"[0.9097, 0.8987, 0.9427, 0.9403, 0.946]",0.92748,2.8707708333333333,-1.8707708333333333
vcl_ewc,1,[0.9771],0.9771,0.0,0.0
vcl_ewc,2,"[0.963, 0.9679]",0.96545,0.0,0.0
vcl_ewc,3,"[0.9634, 0.9584, 0.9682]",0.9633333333333334,0.0,0.0
vcl_ewc,4,"[0.9416, 0.9436, 0.9574, 0.9609]",0.950875,0.0,0.0
vcl_ewc,5,"[0.9213, 0.8966, 0.9515, 0.9497, 0.9536]",0.93454,2.892770833333333,-1.8927708333333333
vcl_ewc_random_200,1,[0.9698],0.9698,0.0,0.0
vcl_ewc_random_200,2,"[0.962, 0.9557]",0.95885,0.0,0.0
vcl_ewc_random_200,3,"[0.9575, 0.9426, 0.9521]",0.9507333333333332,0.0,0.0
vcl_ewc_random_200,4,"[0.9512, 0.9262, 0.9436, 0.955]",0.944,0.0,0.0
vcl_ewc_random_200,5,"[0.9129, 0.8878, 0.8876, 0.9342, 0.9541]",0.91532,2.866483333333333,-1.866483333333333
vcl_ewc_k-center_200,1,[0.9694],0.9694,0.0,0.0
vcl_ewc_k-center_200,2,"[0.9605, 0.9598]",0.96015,0.0,0.0
vcl_ewc_k-center_200,3,"[0.956, 0.9502, 0.9568]",0.9543333333333334,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9445, 0.9369, 0.9446, 0.9576]",0.9459,0.0,0.0
vcl_ewc_k-center_200,5,"[0.9439, 0.9318, 0.9343, 0.9511, 0.947]",0.94162,2.872133333333333,-1.8721333333333328
vcl_ewc_pca-k-center_200,1,[0.9721],0.9721,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.9627, 0.9636]",0.96315,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.95, 0.9546, 0.9542]",0.9529333333333332,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.931, 0.9331, 0.9435, 0.9508]",0.9396,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.9032, 0.896, 0.911, 0.9388, 0.9524]",0.92028,2.871933333333333,-1.8719333333333328
coreset_only_random_200,1,[0.8035],0.8035,0.0,0.0
coreset_only_random_200,2,"[0.7938, 0.7676]",0.7807,0.0,0.0
coreset_only_random_200,3,"[0.7708, 0.7431, 0.7049]",0.7395999999999999,0.0,0.0
coreset_only_random_200,4,"[0.7186, 0.7055, 0.6868, 0.716]",0.706725,0.0,0.0
