model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9761],0.9761,0.0,0.0
vcl,2,"[0.9592, 0.9654]",0.9623,0.0,0.0
vcl,3,"[0.933, 0.9497, 0.9643]",0.949,0.0,0.0
vcl,4,"[0.9285, 0.9194, 0.9463, 0.9592]",0.93835,0.0,0.0
vcl,5,"[0.9212, 0.9178, 0.9366, 0.9455, 0.9566]",0.93554,2.868525,-1.868525
vcl_random_200,1,[0.9699],0.9699,0.0,0.0
vcl_random_200,2,"[0.9648, 0.964]",0.9644,0.0,0.0
vcl_random_200,3,"[0.9529, 0.9505, 0.9536]",0.9523333333333334,0.0,0.0
vcl_random_200,4,"[0.9363, 0.9306, 0.9486, 0.9501]",0.9414,0.0,0.0
vcl_random_200,5,"[0.8992, 0.9085, 0.9253, 0.9417, 0.9527]",0.92548,2.872383333333333,-1.8723833333333333
vcl_k-center_200,1,[0.97],0.97,0.0,0.0
vcl_k-center_200,2,"[0.9549, 0.961]",0.95795,0.0,0.0
vcl_k-center_200,3,"[0.9428, 0.9506, 0.9583]",0.9505666666666668,0.0,0.0
vcl_k-center_200,4,"[0.917, 0.9422, 0.9457, 0.9553]",0.94005,0.0,0.0
vcl_k-center_200,5,"[0.9119, 0.9337, 0.9366, 0.9436, 0.9537]",0.9359,2.863541666666667,-1.8635416666666669
vcl_pca-k-center_200,1,[0.9709],0.9709,0.0,0.0
vcl_pca-k-center_200,2,"[0.9622, 0.9643]",0.96325,0.0,0.0
vcl_pca-k-center_200,3,"[0.9532, 0.956, 0.9506]",0.9532666666666666,0.0,0.0
vcl_pca-k-center_200,4,"[0.9349, 0.9322, 0.9325, 0.9503]",0.937475,0.0,0.0
vcl_pca-k-center_200,5,"[0.9325, 0.866, 0.9099, 0.9275, 0.9484]",0.91686,2.8707041666666666,-1.8707041666666664
vcl_ewc,1,[0.976],0.976,0.0,0.0
vcl_class_balanced_200,1,[0.9685],0.9685,,
vcl_class_balanced_200,2,"[0.9619, 0.9609]",0.9614,,
vcl_class_balanced_200,3,"[0.954, 0.9587, 0.9571]",0.9566,,
vcl_class_balanced_200,4,"[0.9463, 0.9476, 0.9483, 0.9574]",0.9499,,
vcl_class_balanced_200,5,"[0.9444, 0.9436, 0.9479, 0.9449, 0.9509]",0.94634,,
vcl_ewc_class_balanced_200,1,[0.9704],0.9704,,
