model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9925],0.9925,0.0,0.0
vcl,2,"[0.9925, 0.951]",0.97175,0.0,0.0
vcl,3,"[0.9885, 0.9195, 0.97]",0.9593333333333334,0.0,0.0
vcl,4,"[0.984, 0.9115, 0.9745, 0.9885]",0.964625,0.0,0.0
vcl,5,"[0.96, 0.8765, 0.9145, 0.7855, 0.9855]",0.9044,2.9096458333333333,-1.9096458333333333
vcl_random_200,1,[0.9905],0.9905,0.0,0.0
vcl_random_200,2,"[0.83, 0.8555]",0.84275,0.0,0.0
vcl_random_200,3,"[0.9675, 0.929, 0.9315]",0.9426666666666668,0.0,0.0
vcl_random_200,4,"[0.9745, 0.959, 0.921, 0.8825]",0.93425,0.0,0.0
vcl_random_200,5,"[0.9725, 0.8225, 0.9395, 0.6405, 0.9315]",0.8613,2.747791666666667,-1.747791666666667
vcl_k-center_200,1,[0.989],0.989,0.0,0.0
vcl_k-center_200,2,"[0.925, 0.8655]",0.8952500000000001,0.0,0.0
vcl_k-center_200,3,"[0.505, 0.4995, 0.9025]",0.6356666666666667,0.0,0.0
vcl_k-center_200,4,"[0.5015, 0.304, 0.8835, 0.67]",0.58975,0.0,0.0
vcl_k-center_200,5,"[0.78, 0.4965, 0.98, 0.993, 0.793]",0.8084999999999999,2.320291666666667,-1.3202916666666669
vcl_pca-k-center_200,1,[0.992],0.992,0.0,0.0
vcl_pca-k-center_200,2,"[0.8565, 0.8805]",0.8685,0.0,0.0
vcl_pca-k-center_200,3,"[0.561, 0.8875, 0.8925]",0.7803333333333334,0.0,0.0
vcl_pca-k-center_200,4,"[0.5465, 0.8985, 0.8555, 0.6775]",0.7444999999999999,0.0,0.0
vcl_pca-k-center_200,5,"[0.509, 0.898, 0.745, 0.821, 0.8855]",0.7716999999999999,2.517083333333334,-1.5170833333333338
vcl_ewc,1,[0.9905],0.9905,0.0,0.0
vcl_ewc,2,"[0.9875, 0.9495]",0.9685,0.0,0.0
vcl_ewc,3,"[0.989, 0.938, 0.9875]",0.9715,0.0,0.0
vcl_ewc,4,"[0.988, 0.896, 0.988, 0.996]",0.967,0.0,0.0
vcl_ewc,5,"[0.9895, 0.857, 0.993, 0.9965, 0.9865]",0.9645,2.91875,-1.91875
vcl_ewc_random_200,1,[0.991],0.991,0.0,0.0
vcl_ewc_random_200,2,"[0.9915, 0.9055]",0.9485,0.0,0.0
vcl_ewc_random_200,3,"[0.98, 0.81, 0.94]",0.91,0.0,0.0
vcl_ewc_random_200,4,"[0.8495, 0.744, 0.7625, 0.908]",0.816,0.0,0.0
vcl_ewc_random_200,5,"[0.9795, 0.6715, 0.969, 0.9805, 0.9525]",0.9106,2.762,-1.762
vcl_ewc_k-center_200,1,[0.9915],0.9915,0.0,0.0
vcl_ewc_k-center_200,2,"[0.981, 0.847]",0.914,0.0,0.0
vcl_ewc_k-center_200,3,"[0.8235, 0.502, 0.888]",0.7378333333333332,0.0,0.0
vcl_ewc_k-center_200,4,"[0.7615, 0.611, 0.975, 0.349]",0.6741250000000001,0.0,0.0
vcl_ewc_k-center_200,5,"[0.681, 0.5, 0.884, 0.804, 0.839]",0.7415999999999999,2.484645833333333,-1.4846458333333334
vcl_ewc_pca-k-center_200,1,[0.992],0.992,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.5315, 0.9015]",0.7164999999999999,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.7805, 0.502, 0.921]",0.7345,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.589, 0.677, 0.5005, 0.7585]",0.63125,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.832, 0.5035, 0.7695, 0.5485, 0.9145]",0.7136,2.262625,-1.262625
coreset_only_random_200,1,[0.968],0.968,0.0,0.0
coreset_only_random_200,2,"[0.971, 0.9045]",0.93775,0.0,0.0
coreset_only_random_200,3,"[0.956, 0.92, 0.894]",0.9233333333333332,0.0,0.0
coreset_only_random_200,4,"[0.5245, 0.8215, 0.487, 0.8975]",0.682625,0.0,0.0
coreset_only_random_200,5,"[0.876, 0.4755, 0.2465, 0.727, 0.95]",0.6549999999999999,2.686395833333333,-1.686395833333333
coreset_only_k-center_200,1,[0.9765],0.9765,0.0,0.0
coreset_only_k-center_200,2,"[0.963, 0.847]",0.905,0.0,0.0
coreset_only_k-center_200,3,"[0.9635, 0.6555, 0.871]",0.8300000000000001,0.0,0.0
coreset_only_k-center_200,4,"[0.8905, 0.429, 0.5165, 0.7585]",0.648625,0.0,0.0
coreset_only_k-center_200,5,"[0.9175, 0.438, 0.7315, 0.1515, 0.8575]",0.6192,2.5475625,-1.5475625000000002
coreset_only_pca-k-center_200,1,[0.9765],0.9765,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.96, 0.8985]",0.92925,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.9415, 0.582, 0.893]",0.8055,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.9685, 0.0085, 0.251, 0.673]",0.47525,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.961, 0.0915, 0.6895, 0.4375, 0.924]",0.6207,2.4606250000000003,-1.4606250000000005
vcl_class_balanced_200,1,[0.991],0.991,,
vcl_class_balanced_200,2,"[0.256, 0.9005]",0.5782499999999999,,
vcl_class_balanced_200,3,"[0.8865, 0.8745, 0.8155]",0.8588333333333334,,
vcl_class_balanced_200,4,"[0.4235, 0.717, 0.541, 0.594]",0.5688749999999999,,
vcl_class_balanced_200,5,"[0.5095, 0.554, 0.4955, 0.5545, 0.8815]",0.599,,
vcl_ewc_class_balanced_200,1,[0.9905],0.9905,,
vcl_ewc_class_balanced_200,1,[0.993],0.993,,
vcl_ewc_class_balanced_200,2,"[0.555, 0.887]",0.7210000000000001,,
vcl_ewc_class_balanced_200,3,"[0.099, 0.588, 0.8655]",0.5175,,
vcl_ewc_class_balanced_200,4,"[0.0955, 0.7805, 0.5955, 0.777]",0.562125,,
