model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.992],0.992,0.0,0.0
vcl,2,"[0.9925, 0.955]",0.97375,0.0,0.0
vcl,3,"[0.992, 0.9595, 0.9885]",0.98,0.0,0.0
vcl,4,"[0.992, 0.947, 0.9875, 0.996]",0.980625,0.0,0.0
vcl,5,"[0.9915, 0.9515, 0.991, 0.996, 0.9885]",0.9837,2.9400625,-1.9400625
vcl_random_200,1,[0.991],0.991,0.0,0.0
vcl_random_200,2,"[0.546, 0.92]",0.7330000000000001,0.0,0.0
vcl_random_200,3,"[0.6295, 0.9495, 0.916]",0.8316666666666667,0.0,0.0
vcl_random_200,4,"[0.74, 0.9525, 0.8995, 0.93]",0.8805,0.0,0.0
vcl_random_200,5,"[0.613, 0.792, 0.6755, 0.5985, 0.9445]",0.7247,2.5004166666666667,-1.5004166666666667
vcl_k-center_200,1,[0.989],0.989,0.0,0.0
vcl_k-center_200,2,"[0.9375, 0.8765]",0.907,0.0,0.0
vcl_k-center_200,3,"[0.5165, 0.6055, 0.9475]",0.6898333333333332,0.0,0.0
vcl_k-center_200,4,"[0.9755, 0.562, 0.533, 0.523]",0.648375,0.0,0.0
vcl_k-center_200,5,"[0.7405, 0.613, 0.192, 0.4215, 0.8765]",0.5687,2.415520833333333,-1.415520833333333
vcl_pca-k-center_200,1,[0.9915],0.9915,0.0,0.0
vcl_pca-k-center_200,2,"[0.696, 0.885]",0.7905,0.0,0.0
vcl_pca-k-center_200,3,"[0.5675, 0.585, 0.875]",0.6758333333333333,0.0,0.0
vcl_pca-k-center_200,4,"[0.539, 0.6685, 0.935, 0.694]",0.709125,0.0,0.0
vcl_pca-k-center_200,5,"[0.363, 0.5, 0.559, 0.5675, 0.8555]",0.5690000000000001,2.3166458333333333,-1.3166458333333333
vcl_ewc,1,[0.9905],0.9905,0.0,0.0
vcl_ewc,2,"[0.988, 0.9515]",0.96975,0.0,0.0
vcl_ewc,3,"[0.9905, 0.9355, 0.9855]",0.9705,0.0,0.0
vcl_ewc,4,"[0.983, 0.927, 0.989, 0.989]",0.972,0.0,0.0
vcl_ewc,5,"[0.9895, 0.8905, 0.9945, 0.999, 0.9885]",0.9724,2.9215,-1.9215
vcl_ewc_random_200,1,[0.9915],0.9915,0.0,0.0
vcl_ewc_random_200,2,"[0.5205, 0.9295]",0.725,0.0,0.0
vcl_ewc_random_200,3,"[0.954, 0.911, 0.9175]",0.9275,0.0,0.0
vcl_ewc_random_200,4,"[0.686, 0.845, 0.2385, 0.912]",0.670375,0.0,0.0
vcl_ewc_random_200,5,"[0.935, 0.873, 0.52, 0.9205, 0.9525]",0.8402000000000001,2.4834375,-1.4834375
vcl_ewc_k-center_200,1,[0.991],0.991,0.0,0.0
vcl_ewc_k-center_200,2,"[0.9925, 0.8995]",0.946,0.0,0.0
vcl_ewc_k-center_200,3,"[0.963, 0.503, 0.901]",0.789,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9435, 0.584, 0.98, 0.234]",0.685375,0.0,0.0
vcl_ewc_k-center_200,5,"[0.943, 0.7915, 0.8635, 0.8345, 0.8345]",0.8534,2.5731875,-1.5731875
vcl_ewc_pca-k-center_200,1,[0.9895],0.9895,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.7135, 0.8995]",0.8065,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.866, 0.96, 0.877]",0.901,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.8945, 0.959, 0.5065, 0.7495]",0.7773749999999999,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.8925, 0.817, 0.253, 0.5005, 0.9575]",0.6841,2.5909375,-1.5909375
coreset_only_random_200,1,[0.9695],0.9695,0.0,0.0
coreset_only_random_200,2,"[0.9625, 0.8955]",0.929,0.0,0.0
coreset_only_random_200,3,"[0.9695, 0.6095, 0.909]",0.8293333333333335,0.0,0.0
coreset_only_random_200,4,"[0.909, 0.6015, 0.8795, 0.87]",0.815,0.0,0.0
coreset_only_random_200,5,"[0.797, 0.7345, 0.7175, 0.718, 0.9515]",0.7837,2.650583333333333,-1.6505833333333335
coreset_only_k-center_200,1,[0.981],0.981,0.0,0.0
coreset_only_k-center_200,2,"[0.971, 0.8835]",0.92725,0.0,0.0
coreset_only_k-center_200,3,"[0.972, 0.4355, 0.8205]",0.7426666666666666,0.0,0.0
coreset_only_k-center_200,4,"[0.9695, 0.363, 0.5355, 0.651]",0.62975,0.0,0.0
coreset_only_k-center_200,5,"[0.925, 0.307, 0.18, 0.574, 0.8245]",0.5620999999999999,2.4752916666666662,-1.4752916666666662
coreset_only_pca-k-center_200,1,[0.978],0.978,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.9675, 0.88]",0.92375,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.96, 0.403, 0.8605]",0.7411666666666666,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.965, 0.3965, 0.5855, 0.7755]",0.680625,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.827, 0.043, 0.32, 0.4265, 0.8815]",0.4995999999999999,2.4942291666666665,-1.4942291666666665
vcl_ewc,1,[0.993],0.993,0.0,0.0
vcl_ewc,2,"[0.993, 0.9485]",0.97075,0.0,0.0
vcl_ewc,3,"[0.984, 0.948, 0.974]",0.9686666666666666,0.0,0.0
vcl_ewc,4,"[0.971, 0.8665, 0.985, 0.9885]",0.95275,0.0,0.0
vcl_ewc,5,"[0.946, 0.8225, 0.8705, 0.968, 0.9735]",0.9161,3.884908333333333,-2.884908333333333
vcl_ewc_random_200,1,[0.992],0.992,0.0,0.0
vcl_ewc_random_200,2,"[0.838, 0.896]",0.867,0.0,0.0
vcl_ewc_random_200,3,"[0.8695, 0.9385, 0.9405]",0.9161666666666668,0.0,0.0
vcl_ewc_random_200,4,"[0.7275, 0.9385, 0.9595, 0.882]",0.876875,0.0,0.0
