model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl_ewc_k-center_200,3,"[0.9745, 0.8475, 0.6705]",0.8308333333333334,0.0,0.0
vcl_ewc_k-center_200,4,"[0.948, 0.869, 0.529, 0.5695]",0.728875,0.0,0.0
vcl_ewc_k-center_200,5,"[0.916, 0.915, 0.5205, 0.9015, 0.621]",0.7747999999999999,3.281325,-2.281325
vcl_ewc_pca-k-center_200,1,[0.9905],0.9905,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.659, 0.8995]",0.77925,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.6135, 0.61, 0.9125]",0.7120000000000001,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.745, 0.5345, 0.886, 0.947]",0.7781250000000001,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.946, 0.5, 0.5005, 0.7295, 0.9205]",0.7193,2.9898166666666666,-1.9898166666666663
coreset_only_random_200,1,[0.974],0.974,0.0,0.0
coreset_only_random_200,2,"[0.829, 0.929]",0.879,0.0,0.0
coreset_only_random_200,3,"[0.902, 0.9035, 0.9405]",0.9153333333333332,0.0,0.0
coreset_only_random_200,4,"[0.912, 0.887, 0.8195, 0.8785]",0.87425,0.0,0.0
coreset_only_random_200,5,"[0.499, 0.382, 0.026, 0.218, 0.9165]",0.4083,3.329833333333333,-2.329833333333333
coreset_only_k-center_200,1,[0.97],0.97,0.0,0.0
coreset_only_k-center_200,2,"[0.979, 0.9015]",0.94025,0.0,0.0
coreset_only_k-center_200,3,"[0.9645, 0.501, 0.822]",0.7625000000000001,0.0,0.0
coreset_only_k-center_200,4,"[0.9635, 0.455, 0.1985, 0.6475]",0.566125,0.0,0.0
coreset_only_k-center_200,5,"[0.9105, 0.4515, 0.302, 0.6765, 0.8475]",0.6376000000000001,3.131095833333333,-2.131095833333333
coreset_only_pca-k-center_200,1,[0.978],0.978,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.977, 0.885]",0.931,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.9715, 0.652, 0.8465]",0.8233333333333333,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.9665, 0.541, 0.939, 0.719]",0.7913749999999999,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.9275, 0.0725, 0.432, 0.1225, 0.9445]",0.4998,3.260104166666667,-2.260104166666667
vcl_class_balanced_200,1,[0.992],0.992,,
vcl_class_balanced_200,2,"[0.4815, 0.8685]",0.675,,
vcl_class_balanced_200,3,"[0.5225, 0.765, 0.8075]",0.6983333333333334,,
vcl_class_balanced_200,4,"[0.5185, 0.9315, 0.6875, 0.5975]",0.6837500000000001,,
vcl_class_balanced_200,5,"[0.4265, 0.572, 0.7835, 0.611, 0.842]",0.647,,
vcl_ewc_class_balanced_200,1,[0.99],0.99,,
vcl_ewc_class_balanced_200,2,"[0.5035, 0.91]",0.70675,,
vcl_ewc_class_balanced_200,3,"[0.3675, 0.3015, 0.895]",0.5213333333333333,,
vcl_ewc_class_balanced_200,4,"[0.383, 0.3555, 0.945, 0.5955]",0.56975,,
vcl_ewc_class_balanced_200,5,"[0.503, 0.5005, 0.8905, 0.925, 0.846]",0.733,,
coreset_only_class_balanced_200,1,[0.963],0.963,,
coreset_only_class_balanced_200,2,"[0.955, 0.872]",0.9135,,
coreset_only_class_balanced_200,3,"[0.9655, 0.754, 0.834]",0.8511666666666667,,
coreset_only_class_balanced_200,4,"[0.9525, 0.265, 0.278, 0.611]",0.526625,,
coreset_only_class_balanced_200,5,"[0.931, 0.412, 0.5, 0.5765, 0.7685]",0.6376000000000001,,
vcl_ewc_new,1,[0.9905],0.9905,,
vcl_ewc_new,2,"[0.988, 0.9455]",0.96675,,
vcl_ewc_new,3,"[0.9925, 0.8765, 0.986]",0.9516666666666668,,
vcl_ewc_new,4,"[0.9885, 0.813, 0.9775, 0.9945]",0.943375,,
vcl_ewc_new,5,"[0.9875, 0.802, 0.9605, 0.994, 0.992]",0.9472,,
vcl_ewc_random_200_new,1,[0.993],0.993,,
vcl_ewc_random_200_new,2,"[0.5365, 0.919]",0.72775,,
vcl_ewc_random_200_new,3,"[0.535, 0.816, 0.9165]",0.7558333333333334,,
vcl_ewc_random_200_new,4,"[0.5185, 0.662, 0.7965, 0.944]",0.73025,,
vcl_ewc_random_200_new,5,"[0.528, 0.482, 0.5815, 0.776, 0.9455]",0.6626,,
vcl_ewc_k-center_200_new,1,[0.9895],0.9895,,
