model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9915],0.9915,0.0,0.0
vcl,2,"[0.9885, 0.9575]",0.973,0.0,0.0
vcl,3,"[0.9815, 0.8925, 0.9765]",0.9501666666666668,0.0,0.0
vcl,4,"[0.966, 0.829, 0.9855, 0.9925]",0.94325,0.0,0.0
vcl,5,"[0.945, 0.8295, 0.9435, 0.971, 0.978]",0.9334,2.890541666666667,-1.890541666666667
vcl_random_200,1,[0.9885],0.9885,0.0,0.0
vcl_random_200,2,"[0.183, 0.9185]",0.55075,0.0,0.0
vcl_random_200,3,"[0.5155, 0.5105, 0.9615]",0.6625,0.0,0.0
vcl_random_200,4,"[0.4365, 0.686, 0.866, 0.92]",0.727125,0.0,0.0
vcl_random_200,5,"[0.4825, 0.521, 0.8535, 0.756, 0.9915]",0.7209000000000001,2.0710625,-1.0710625
vcl_k-center_200,1,[0.9925],0.9925,0.0,0.0
vcl_k-center_200,2,"[0.7845, 0.9295]",0.857,0.0,0.0
vcl_k-center_200,3,"[0.9575, 0.825, 0.892]",0.8915000000000001,0.0,0.0
vcl_k-center_200,4,"[0.9455, 0.819, 0.5525, 0.8385]",0.788875,0.0,0.0
vcl_k-center_200,5,"[0.5395, 0.5005, 0.5, 0.806, 0.8835]",0.6458999999999999,2.6391875,-1.6391875000000002
vcl_pca-k-center_200,1,[0.994],0.994,0.0,0.0
vcl_pca-k-center_200,2,"[0.6205, 0.8805]",0.7505,0.0,0.0
vcl_pca-k-center_200,3,"[0.6635, 0.5815, 0.9]",0.715,0.0,0.0
vcl_pca-k-center_200,4,"[0.8605, 0.5005, 0.9735, 0.6755]",0.7525000000000001,0.0,0.0
vcl_pca-k-center_200,5,"[0.7835, 0.8575, 0.8835, 0.5355, 0.8975]",0.7914999999999999,2.33875,-1.33875
vcl_ewc,1,[0.993],0.993,0.0,0.0
vcl_ewc,2,"[0.9905, 0.9535]",0.972,0.0,0.0
vcl_ewc,3,"[0.9805, 0.8395, 0.986]",0.9353333333333332,0.0,0.0
vcl_ewc,4,"[0.9515, 0.7765, 0.984, 0.993]",0.92625,0.0,0.0
vcl_ewc,5,"[0.936, 0.7915, 0.9135, 0.8375, 0.9905]",0.8938,2.8669583333333333,-1.8669583333333333
vcl_ewc_random_200,1,[0.991],0.991,0.0,0.0
vcl_ewc_random_200,2,"[0.725, 0.943]",0.834,0.0,0.0
vcl_ewc_random_200,3,"[0.6, 0.952, 0.9585]",0.8368333333333333,0.0,0.0
vcl_ewc_random_200,4,"[0.573, 0.5065, 0.952, 0.9605]",0.748,0.0,0.0
vcl_ewc_random_200,5,"[0.9555, 0.501, 0.5135, 0.6545, 0.9535]",0.7156,2.5403333333333333,-1.540333333333333
vcl_ewc_k-center_200,1,[0.9905],0.9905,0.0,0.0
vcl_ewc_k-center_200,2,"[0.991, 0.899]",0.945,0.0,0.0
vcl_ewc_k-center_200,3,"[0.9835, 0.898, 0.8325]",0.9046666666666666,0.0,0.0
vcl_ewc_k-center_200,4,"[0.977, 0.949, 0.8025, 0.5165]",0.81125,0.0,0.0
vcl_ewc_k-center_200,5,"[0.971, 0.8755, 0.5415, 0.267, 0.806]",0.6921999999999999,2.750541666666667,-1.7505416666666669
vcl_ewc_pca-k-center_200,1,[0.992],0.992,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.9875, 0.8975]",0.9425,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.95, 0.538, 0.891]",0.793,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.5725, 0.9305, 0.76, 0.778]",0.76025,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.904, 0.6005, 0.9575, 0.652, 0.885]",0.7998000000000001,2.611625,-1.611625
coreset_only_random_200,1,[0.973],0.973,0.0,0.0
coreset_only_random_200,2,"[0.9015, 0.9235]",0.9125,0.0,0.0
coreset_only_random_200,3,"[0.873, 0.922, 0.9345]",0.9098333333333332,0.0,0.0
coreset_only_random_200,4,"[0.608, 0.1595, 0.482, 0.8665]",0.5289999999999999,0.0,0.0
coreset_only_random_200,5,"[0.5035, 0.1975, 0.1575, 0.47, 0.9545]",0.4566,2.5733333333333333,-1.5733333333333333
coreset_only_k-center_200,1,[0.9795],0.9795,0.0,0.0
coreset_only_k-center_200,2,"[0.9725, 0.898]",0.93525,0.0,0.0
coreset_only_k-center_200,3,"[0.97, 0.557, 0.8515]",0.7928333333333334,0.0,0.0
coreset_only_k-center_200,4,"[0.969, 0.294, 0.3535, 0.6405]",0.5642499999999999,0.0,0.0
coreset_only_k-center_200,5,"[0.9745, 0.2435, 0.468, 0.1285, 0.8045]",0.5237999999999999,2.4999583333333337,-1.4999583333333335
coreset_only_pca-k-center_200,1,[0.976],0.976,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.9635, 0.8915]",0.9275,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.935, 0.376, 0.9]",0.737,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.948, 0.427, 0.513, 0.697]",0.64625,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.9485, 0.285, 0.3255, 0.6515, 0.953]",0.6327,2.475625,-1.475625
