model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.888],0.888,0.0,0.0
vcl,2,"[0.8875, 0.671]",0.77925,0.0,0.0
vcl,3,"[0.8795, 0.671, 0.682]",0.7441666666666666,0.0,0.0
vcl,4,"[0.8795, 0.6735, 0.686, 0.668]",0.72675,0.0,0.0
vcl,5,"[0.8795, 0.6705, 0.686, 0.684, 0.7295]",0.7299,2.330791666666667,-1.3307916666666668
vcl_random_200,1,[0.8735],0.8735,0.0,0.0
vcl_random_200,2,"[0.8755, 0.44]",0.65775,0.0,0.0
vcl_random_200,3,"[0.874, 0.462, 0.596]",0.644,0.0,0.0
vcl_random_200,4,"[0.8625, 0.455, 0.6175, 0.705]",0.66,0.0,0.0
vcl_random_200,5,"[0.8625, 0.4105, 0.619, 0.683, 0.683]",0.6516,2.0685,-1.0685000000000002
vcl_k-center_200,1,[0.881],0.881,0.0,0.0
vcl_k-center_200,2,"[0.879, 0.3235]",0.6012500000000001,0.0,0.0
vcl_k-center_200,3,"[0.8715, 0.3475, 0.137]",0.452,0.0,0.0
vcl_k-center_200,4,"[0.87, 0.3665, 0.161, 0.1205]",0.3795,0.0,0.0
vcl_k-center_200,5,"[0.8735, 0.3635, 0.1965, 0.11, 0.2045]",0.3496,1.6835,-0.6835
vcl_pca-k-center_200,1,[0.88],0.88,0.0,0.0
vcl_pca-k-center_200,2,"[0.863, 0.4355]",0.64925,0.0,0.0
vcl_pca-k-center_200,3,"[0.8495, 0.43, 0.2185]",0.4993333333333333,0.0,0.0
vcl_pca-k-center_200,4,"[0.849, 0.4385, 0.266, 0.0645]",0.4045,0.0,0.0
vcl_pca-k-center_200,5,"[0.8255, 0.4025, 0.28, 0.061, 0.166]",0.347,1.790833333333333,-0.790833333333333
vcl_ewc,1,[0.8755],0.8755,0.0,0.0
vcl_ewc,2,"[0.881, 0.652]",0.7665,0.0,0.0
vcl_ewc,3,"[0.8795, 0.6585, 0.6955]",0.7444999999999999,0.0,0.0
