model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.865],0.865,0.0,0.0
vcl,2,"[0.8685, 0.649]",0.75875,0.0,0.0
vcl,3,"[0.865, 0.6475, 0.6825]",0.7316666666666666,0.0,0.0
vcl,4,"[0.871, 0.6475, 0.673, 0.7085]",0.725,0.0,0.0
vcl,5,"[0.8505, 0.6515, 0.676, 0.7025, 0.7485]",0.7258,2.2854166666666664,-1.2854166666666664
vcl_random_200,1,[0.8725],0.8725,0.0,0.0
vcl_random_200,2,"[0.872, 0.561]",0.7165,0.0,0.0
vcl_random_200,3,"[0.8735, 0.5505, 0.6505]",0.6915,0.0,0.0
vcl_random_200,4,"[0.8675, 0.562, 0.6535, 0.7325]",0.703875,0.0,0.0
vcl_random_200,5,"[0.8635, 0.5725, 0.6555, 0.7275, 0.754]",0.7146,2.1961875,-1.1961874999999995
vcl_k-center_200,1,[0.8755],0.8755,0.0,0.0
vcl_k-center_200,2,"[0.8685, 0.3665]",0.6175,0.0,0.0
vcl_k-center_200,3,"[0.8525, 0.3945, 0.123]",0.4566666666666667,0.0,0.0
vcl_k-center_200,4,"[0.854, 0.4505, 0.1855, 0.0855]",0.393875,0.0,0.0
vcl_k-center_200,5,"[0.859, 0.458, 0.2025, 0.0735, 0.239]",0.3663999999999999,1.7088541666666668,-0.7088541666666668
vcl_pca-k-center_200,1,[0.8385],0.8385,0.0,0.0
vcl_pca-k-center_200,2,"[0.6895, 0.4275]",0.5585,0.0,0.0
vcl_pca-k-center_200,3,"[0.709, 0.3615, 0.5675]",0.5459999999999999,0.0,0.0
vcl_pca-k-center_200,4,"[0.6755, 0.484, 0.5005, 0.6045]",0.566125,0.0,0.0
vcl_pca-k-center_200,5,"[0.614, 0.4975, 0.499, 0.525, 0.654]",0.5579,1.8068125,-0.8068124999999999
vcl_ewc,1,[0.884],0.884,0.0,0.0
vcl_ewc,2,"[0.8775, 0.6685]",0.7729999999999999,0.0,0.0
vcl_ewc,3,"[0.8725, 0.6685, 0.689]",0.7433333333333333,0.0,0.0
vcl_ewc,4,"[0.875, 0.671, 0.6785, 0.687]",0.727875,0.0,0.0
vcl_ewc,5,"[0.875, 0.672, 0.677, 0.686, 0.731]",0.7282,2.322270833333333,-1.3222708333333335
vcl_ewc_random_200,1,[0.8815],0.8815,0.0,0.0
vcl_ewc_random_200,2,"[0.878, 0.5685]",0.72325,0.0,0.0
vcl_ewc_random_200,3,"[0.881, 0.538, 0.659]",0.6926666666666668,0.0,0.0
vcl_ewc_random_200,4,"[0.858, 0.5315, 0.6585, 0.711]",0.68975,0.0,0.0
vcl_ewc_random_200,5,"[0.855, 0.5305, 0.6655, 0.7055, 0.7485]",0.701,2.2015416666666665,-1.2015416666666665
vcl_ewc_k-center_200,1,[0.8845],0.8845,0.0,0.0
vcl_ewc_k-center_200,2,"[0.6425, 0.307]",0.47475,0.0,0.0
vcl_ewc_k-center_200,3,"[0.7365, 0.3265, 0.23]",0.431,0.0,0.0
vcl_ewc_k-center_200,4,"[0.6195, 0.1985, 0.179, 0.226]",0.30575,0.0,0.0
vcl_ewc_k-center_200,5,"[0.749, 0.1435, 0.477, 0.36, 0.7005]",0.4859999999999999,1.5008749999999995,-0.5008749999999997
vcl_ewc_pca-k-center_200,1,[0.8885],0.8885,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.6155, 0.4255]",0.5205,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.7715, 0.4755, 0.223]",0.49,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.8335, 0.4565, 0.184, 0.063]",0.38425,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.842, 0.477, 0.1665, 0.086, 0.3085]",0.376,1.646875,-0.6468749999999999
coreset_only_random_200,1,[0.73],0.73,0.0,0.0
coreset_only_random_200,2,"[0.7065, 0.512]",0.6092500000000001,0.0,0.0
coreset_only_random_200,3,"[0.6235, 0.465, 0.4375]",0.5086666666666667,0.0,0.0
coreset_only_random_200,4,"[0.637, 0.398, 0.417, 0.523]",0.49375,0.0,0.0
coreset_only_random_200,5,"[0.546, 0.3585, 0.196, 0.331, 0.57]",0.4003,1.7297916666666668,-0.7297916666666668
coreset_only_k-center_200,1,[0.719],0.719,0.0,0.0
coreset_only_k-center_200,2,"[0.7055, 0.3185]",0.512,0.0,0.0
coreset_only_k-center_200,3,"[0.721, 0.3695, 0.293]",0.4611666666666666,0.0,0.0
coreset_only_k-center_200,4,"[0.696, 0.393, 0.348, 0.397]",0.4584999999999999,0.0,0.0
coreset_only_k-center_200,5,"[0.6855, 0.281, 0.358, 0.293, 0.438]",0.4110999999999999,1.5619166666666666,-0.5619166666666666
coreset_only_pca-k-center_200,1,[0.712],0.712,0.0,0.0
