model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.8765],0.8765,0.0,0.0
vcl,2,"[0.877, 0.671]",0.774,0.0,0.0
vcl,3,"[0.8695, 0.6745, 0.667]",0.7370000000000001,0.0,0.0
vcl,4,"[0.8675, 0.67, 0.6695, 0.7245]",0.7328749999999999,0.0,0.0
vcl,5,"[0.867, 0.6755, 0.6695, 0.72, 0.7485]",0.7360999999999999,2.3156875,-1.3156875
vcl_random_200,1,[0.87],0.87,0.0,0.0
vcl_random_200,2,"[0.8615, 0.4935]",0.6775,0.0,0.0
vcl_random_200,3,"[0.8255, 0.529, 0.6505]",0.6683333333333333,0.0,0.0
vcl_random_200,4,"[0.843, 0.5075, 0.642, 0.656]",0.662125,0.0,0.0
vcl_random_200,5,"[0.865, 0.4595, 0.627, 0.6565, 0.723]",0.6662,2.111895833333333,-1.111895833333333
vcl_k-center_200,1,[0.879],0.879,0.0,0.0
vcl_k-center_200,2,"[0.8705, 0.45]",0.66025,0.0,0.0
vcl_k-center_200,3,"[0.8375, 0.45, 0.25]",0.5125000000000001,0.0,0.0
vcl_k-center_200,4,"[0.7895, 0.405, 0.257, 0.0515]",0.3757500000000001,0.0,0.0
vcl_k-center_200,5,"[0.7915, 0.3615, 0.263, 0.09, 0.2975]",0.3607,1.8001250000000002,-0.8001250000000002
vcl_pca-k-center_200,1,[0.8865],0.8865,0.0,0.0
vcl_pca-k-center_200,2,"[0.889, 0.446]",0.6675,0.0,0.0
vcl_pca-k-center_200,3,"[0.886, 0.4395, 0.307]",0.5441666666666666,0.0,0.0
vcl_pca-k-center_200,4,"[0.879, 0.462, 0.3365, 0.142]",0.454875,0.0,0.0
vcl_pca-k-center_200,5,"[0.876, 0.4365, 0.325, 0.169, 0.263]",0.4139,1.8823541666666663,-0.8823541666666666
vcl_ewc,1,[0.872],0.872,0.0,0.0
vcl_ewc,2,"[0.873, 0.681]",0.777,0.0,0.0
vcl_ewc,3,"[0.8765, 0.6775, 0.7025]",0.7521666666666667,0.0,0.0
vcl_ewc,4,"[0.874, 0.6825, 0.703, 0.6995]",0.73975,0.0,0.0
vcl_ewc,5,"[0.866, 0.6765, 0.7055, 0.7025, 0.7485]",0.7398,2.3350416666666667,-1.335041666666667
vcl_ewc_random_200,1,[0.8455],0.8455,0.0,0.0
vcl_ewc_random_200,2,"[0.8305, 0.4905]",0.6605,0.0,0.0
vcl_ewc_random_200,3,"[0.805, 0.5225, 0.592]",0.6398333333333334,0.0,0.0
vcl_ewc_random_200,4,"[0.7825, 0.5085, 0.533, 0.681]",0.62625,0.0,0.0
vcl_ewc_random_200,5,"[0.763, 0.4985, 0.5035, 0.6875, 0.7495]",0.6404,2.0362083333333336,-1.0362083333333336
vcl_ewc_k-center_200,1,[0.8825],0.8825,0.0,0.0
vcl_ewc_k-center_200,2,"[0.879, 0.3795]",0.62925,0.0,0.0
vcl_ewc_k-center_200,3,"[0.8715, 0.335, 0.268]",0.4915,0.0,0.0
vcl_ewc_k-center_200,4,"[0.87, 0.4215, 0.2485, 0.1275]",0.416875,0.0,0.0
vcl_ewc_k-center_200,5,"[0.8655, 0.481, 0.3495, 0.172, 0.282]",0.43,1.7704375,-0.7704374999999999
vcl_ewc_pca-k-center_200,1,[0.8865],0.8865,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.8785, 0.529]",0.70375,0.0,0.0
