trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,0.9761,vcl,[0.9761]
2,,0.96785,vcl,"[0.968, 0.9677]"
3,,0.9492,vcl,"[0.9424, 0.9421, 0.9631]"
4,,0.9413,vcl,"[0.9333, 0.9332, 0.9381, 0.9606]"
5,,0.93202,vcl,"[0.9176, 0.921, 0.9159, 0.9463, 0.9593]"
1,,0.9725,vcl_random_200,[0.9725]
2,,0.96515,vcl_random_200,"[0.9676, 0.9627]"
3,,0.9587666666666668,vcl_random_200,"[0.9576, 0.9585, 0.9602]"
4,,0.9516,vcl_random_200,"[0.9498, 0.9494, 0.9502, 0.957]"
5,,0.94094,vcl_random_200,"[0.9224, 0.9369, 0.9426, 0.9468, 0.956]"
1,,0.9691,vcl_k-center_200,[0.9691]
2,,0.96435,vcl_k-center_200,"[0.9674, 0.9613]"
3,,0.9608333333333332,vcl_k-center_200,"[0.9626, 0.9595, 0.9604]"
4,,0.955025,vcl_k-center_200,"[0.9579, 0.951, 0.9502, 0.961]"
5,,0.94478,vcl_k-center_200,"[0.9561, 0.9301, 0.9371, 0.952, 0.9486]"
1,,0.9695,vcl_k-center_200,[0.9695]
2,,0.9581,vcl_k-center_200,"[0.9639, 0.9523]"
3,,0.9518666666666666,vcl_k-center_200,"[0.9596, 0.9371, 0.9589]"
4,,0.94455,vcl_k-center_200,"[0.9539, 0.9235, 0.948, 0.9528]"
5,,0.93594,vcl_k-center_200,"[0.9497, 0.9094, 0.9383, 0.9362, 0.9461]"
1,,0.9755,vcl_ewc,[0.9755]
2,,0.968,vcl_ewc,"[0.9662, 0.9698]"
3,,0.9559666666666664,vcl_ewc,"[0.9531, 0.9511, 0.9637]"
4,,0.9476,vcl_ewc,"[0.9371, 0.9316, 0.9572, 0.9645]"
5,,0.9419799999999998,vcl_ewc,"[0.9292, 0.9146, 0.9494, 0.9559, 0.9608]"
1,,0.9726,vcl_ewc_random_200,[0.9726]
2,,0.9682,vcl_ewc_random_200,"[0.969, 0.9674]"
3,,0.9596,vcl_ewc_random_200,"[0.9631, 0.9596, 0.9561]"
4,,0.953075,vcl_ewc_random_200,"[0.9546, 0.954, 0.946, 0.9577]"
5,,0.94348,vcl_ewc_random_200,"[0.9452, 0.9365, 0.933, 0.9513, 0.9514]"
1,,0.9703,vcl_ewc_k-center_200,[0.9703]
2,,0.9621999999999999,vcl_ewc_k-center_200,"[0.9646, 0.9598]"
