model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl,2,"[0.9995271867612293, 0.9676787463271302]",0.9836029665441798,0.0,0.0
vcl,3,"[0.9995271867612293, 0.9725759059745348, 0.983991462113127]",0.985364851616297,0.0,0.0
vcl,4,"[0.9995271867612293, 0.9603330068560235, 0.9930629669156884, 0.9949647532729103]",0.9869719784514628,0.0,0.0
vcl,5,"[0.9995271867612293, 0.9622918707149853, 0.9946638207043756, 0.9894259818731118, 0.9657085224407463]",0.9823234764988896,2.9622174007668227,-1.9622174007668227
vcl_random_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_random_200,2,"[0.9995271867612293, 0.9569049951028403]",0.9782160909320348,0.0,0.0
vcl_random_200,3,"[0.9995271867612293, 0.9201762977473066, 0.971718249733191]",0.9638072447472422,0.0,0.0
vcl_random_200,4,"[0.9995271867612293, 0.9329089128305583, 0.967982924226254, 0.9768378650553877]",0.9693142222183572,0.0,0.0
vcl_random_200,5,"[0.9995271867612293, 0.9285014691478942, 0.7849519743863393, 0.9818731117824774, 0.9576399394856279]",0.9304987363127136,2.9264440401690703,-1.9264440401690703
vcl_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_k-center_200,2,"[0.9985815602836879, 0.9720861900097943]",0.9853338751467412,0.0,0.0
vcl_k-center_200,3,"[0.9985815602836879, 0.9593535749265426, 0.9466382070437567]",0.9681911140846624,0.0,0.0
vcl_k-center_200,4,"[0.9985815602836879, 0.9559255631733594, 0.9487726787620064, 0.8977844914400805]",0.9502660734147836,0.0,0.0
vcl_k-center_200,5,"[0.9995271867612293, 0.9593535749265426, 0.7267876200640342, 0.8136958710976838, 0.7760968229954615]",0.8550922151689904,2.92842161931941,-1.92842161931941
vcl_pca-k-center_200,1,[0.9990543735224586],0.9990543735224586,0.0,0.0
vcl_pca-k-center_200,2,"[0.9990543735224586, 0.9715964740450539]",0.9853254237837564,0.0,0.0
vcl_pca-k-center_200,3,"[0.9985815602836879, 0.9720861900097943, 0.9631803628601922]",0.9779493710512248,0.0,0.0
vcl_pca-k-center_200,4,"[0.9985815602836879, 0.9407443682664055, 0.9466382070437567, 0.9642497482376636]",0.9625534709578784,0.0,0.0
vcl_pca-k-center_200,5,"[0.9990543735224586, 0.7404505386875612, 0.8740661686232657, 0.9385699899295066, 0.832576903681291]",0.8769435948888166,2.9440787170751497,-1.9440787170751497
vcl_ewc,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc,2,"[0.9995271867612293, 0.9691478942213516]",0.9843375404912904,0.0,0.0
vcl_ewc,3,"[0.9995271867612293, 0.9529872673849168, 0.9909284951974386]",0.981147649781195,0.0,0.0
vcl_ewc,4,"[0.9995271867612293, 0.9642507345739472, 0.9706510138740662, 0.9929506545820745]",0.9818448974478292,0.0,0.0
vcl_ewc,5,"[0.9995271867612293, 0.9696376101860921, 0.987726787620064, 0.9904330312185297, 0.9773071104387292]",0.9849263452449288,2.956171232377015,-1.9561712323770148
vcl_ewc_random_200,1,[0.9990543735224586],0.9990543735224586,0.0,0.0
vcl_ewc_random_200,2,"[0.9990543735224586, 0.9603330068560235]",0.979693690189241,0.0,0.0
vcl_ewc_random_200,3,"[0.9995271867612293, 0.9422135161606269, 0.9759871931696905]",0.9725759653638488,0.0,0.0
vcl_ewc_random_200,4,"[0.9995271867612293, 0.9138099902056807, 0.9637139807897546, 0.9803625377643505]",0.9643534238802536,0.0,0.0
vcl_ewc_random_200,5,"[0.9995271867612293, 0.910871694417238, 0.9722518676627535, 0.9803625377643505, 0.9450327786182552]",0.9616092130447652,2.933973554254446,-1.9339735542544456
vcl_ewc_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc_k-center_200,2,"[0.9995271867612293, 0.9593535749265426]",0.979440380843886,0.0,0.0
vcl_ewc_k-center_200,3,"[0.9995271867612293, 0.9647404505386875, 0.9498399146211313]",0.9713691839736828,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9995271867612293, 0.955435847208619, 0.9434364994663821, 0.8927492447129909]",0.9477871945373052,0.0,0.0
vcl_ewc_k-center_200,5,"[0.9995271867612293, 0.9603330068560235, 0.7449306296691569, 0.8972809667673716, 0.7967725668179526]",0.8797688713743467,2.924466755466836,-1.924466755466836
vcl_ewc_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[1.0, 0.9725759059745348]",0.9862879529872676,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[1.0, 0.9461312438785504, 0.9573105656350054]",0.9678139365045184,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[1.0, 0.9480901077375122, 0.9332977588046958, 0.9577039274924471]",0.9597729485086638,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.9995271867612293, 0.941234084231146, 0.9637139807897546, 0.9511581067472307, 0.9273827534039334]",0.9566032223866588,2.933988363746118,-1.933988363746118
coreset_only_random_200,1,[0.9990543735224586],0.9990543735224586,0.0,0.0
coreset_only_random_200,2,"[0.9895981087470449, 0.9343780607247796]",0.9619880847359122,0.0,0.0
coreset_only_random_200,3,"[0.9947990543735225, 0.8178256611165524, 0.9487726787620064]",0.9204657980840272,0.0,0.0
coreset_only_random_200,4,"[0.9035460992907801, 0.8863858961802155, 0.9103521878335112, 0.986404833836858]",0.9216722542853412,0.0,0.0
coreset_only_random_200,5,"[0.6860520094562648, 0.9138099902056807, 0.8836712913553896, 0.9818731117824774, 0.9319213313161876]",0.8794655468232,2.842817196723839,-1.8428171967238391
coreset_only_k-center_200,1,[0.9990543735224586],0.9990543735224586,0.0,0.0
coreset_only_k-center_200,2,"[0.9981087470449173, 0.9564152791380999]",0.9772620130915086,0.0,0.0
coreset_only_k-center_200,3,"[0.9985815602836879, 0.8648383937316356, 0.8911419423692636]",0.9181872987948624,0.0,0.0
coreset_only_k-center_200,4,"[0.9886524822695035, 0.827130264446621, 0.7262540021344717, 0.8831822759315207]",0.8563047561955293,0.0,0.0
coreset_only_k-center_200,5,"[0.9465721040189126, 0.866307541625857, 0.763607257203842, 0.9093655589123867, 0.8366111951588502]",0.8644927313839696,2.823128876745365,-1.8231288767453648
coreset_only_pca-k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.9820330969267139, 0.9495592556317336]",0.9657961762792238,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.9905437352245863, 0.9187071498530852, 0.9316969050160085]",0.9469825966978934,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.9962174940898345, 0.8863858961802155, 0.8014941302027748, 0.9420946626384693]",0.9065480457778236,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.8936170212765957, 0.6694417238001958, 0.7641408751334045, 0.6847935548841894, 0.8744326777609682]",0.7772851705710708,2.8658163892466435,-1.8658163892466435
