model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl,2,"[0.9995271867612293, 0.970617042115573]",0.9850721144384011,0.0,0.0
vcl,3,"[0.9995271867612293, 0.9353574926542605, 0.991462113127001]",0.975448930847497,0.0,0.0
vcl,4,"[0.9995271867612293, 0.7806072477962782, 0.9903948772678762, 0.9894259818731118]",0.939988823424624,0.0,0.0
vcl,5,"[0.9995271867612293, 0.6209598432908913, 0.9647812166488794, 0.9536757301107754, 0.961674230963187]",0.9001236415549926,2.9302790503788247,-1.9302790503788247
vcl_random_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_random_200,2,"[0.9995271867612293, 0.9662095984329089]",0.9828683925970692,0.0,0.0
vcl_random_200,3,"[0.9995271867612293, 0.9226248775710089, 0.983991462113127]",0.9687145088151218,0.0,0.0
vcl_random_200,4,"[0.9995271867612293, 0.9333986287952988, 0.9775880469583778, 0.9818731117824774]",0.9730967435743456,0.0,0.0
vcl_random_200,5,"[0.9995271867612293, 0.9363369245837414, 0.9786552828175027, 0.9707955689828801, 0.9409984871406959]",0.96526269005721,2.9378948665799784,-1.9378948665799784
vcl_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_k-center_200,2,"[0.9995271867612293, 0.9676787463271302]",0.9836029665441798,0.0,0.0
vcl_k-center_200,3,"[0.9995271867612293, 0.8535749265426053, 0.9514407684098186]",0.9348476272378844,0.0,0.0
vcl_k-center_200,4,"[0.9995271867612293, 0.9569049951028403, 0.9541088580576307, 0.9149043303121853]",0.9563613425584714,0.0,0.0
vcl_k-center_200,5,"[0.9995271867612293, 0.9627815866797258, 0.6558164354322306, 0.9123867069486404, 0.8678769541099345]",0.8796777739863522,2.8963948584419144,-1.8963948584419144
vcl_pca-k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_pca-k-center_200,2,"[0.9995271867612293, 0.9666993143976493]",0.9831132505794392,0.0,0.0
vcl_pca-k-center_200,3,"[0.9990543735224586, 0.935847208619001, 0.9599786552828175]",0.9649600791414256,0.0,0.0
vcl_pca-k-center_200,4,"[0.9995271867612293, 0.8883447600391773, 0.9450373532550693, 0.94662638469285]",0.9448839211870814,0.0,0.0
vcl_pca-k-center_200,5,"[0.9995271867612293, 0.921645445641528, 0.9135538954108858, 0.9582074521651561, 0.8577912254160364]",0.9301450410789672,2.92027888369502,-1.92027888369502
vcl_ewc,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc,2,"[0.9995271867612293, 0.9676787463271302]",0.9836029665441798,0.0,0.0
vcl_ewc,3,"[0.9995271867612293, 0.9524975514201763, 0.9903948772678762]",0.980806538483094,0.0,0.0
vcl_ewc,4,"[0.9995271867612293, 0.94564152791381, 0.991462113127001, 0.9949647532729103]",0.9828988952687376,0.0,0.0
vcl_ewc,5,"[0.9995271867612293, 0.951028403525955, 0.9893276414087513, 0.986404833836858, 0.9788199697428139]",0.9810216070551216,2.955622546042257,-1.9556225460422567
vcl_ewc_random_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc_random_200,2,"[0.9995271867612293, 0.9627815866797258]",0.9811543867204776,0.0,0.0
vcl_ewc_random_200,3,"[0.9995271867612293, 0.9387855044074437, 0.9637139807897546]",0.9673422239861426,0.0,0.0
vcl_ewc_random_200,4,"[0.9995271867612293, 0.9324191968658179, 0.9429028815368197, 0.9874118831822759]",0.9655652870865358,0.0,0.0
vcl_ewc_random_200,5,"[0.9995271867612293, 0.9618021547502449, 0.9332977588046958, 0.9828801611278952, 0.961674230963187]",0.9678362984814506,2.931042847630503,-1.9310428476305028
vcl_ewc_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc_k-center_200,2,"[0.9995271867612293, 0.965230166503428]",0.9823786766323286,0.0,0.0
vcl_ewc_k-center_200,3,"[0.9995271867612293, 0.9622918707149853, 0.9407684098185699]",0.9675291557649284,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9995271867612293, 0.9637610186092067, 0.9375667022411953, 0.9310171198388721]",0.957968006862626,0.0,0.0
vcl_ewc_k-center_200,5,"[0.9995271867612293, 0.954456415279138, 0.6739594450373533, 0.8907351460221551, 0.8451840645486637]",0.8727724515297078,2.9286554292091846,-1.9286554292091849
vcl_ewc_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[1.0, 0.9789422135161606]",0.9894711067580804,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[1.0, 0.9764936336924583, 0.9541088580576307]",0.9768674972500296,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[1.0, 0.9740450538687562, 0.9455709711846318, 0.9476334340382678]",0.966812364772914,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[1.0, 0.9730656219392753, 0.8367129135538954, 0.9536757301107754, 0.9067070095814422]",0.9340322550370777,2.949744786394567,-1.9497447863945672
coreset_only_random_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
coreset_only_random_200,2,"[0.9985815602836879, 0.9255631733594515]",0.9620723668215696,0.0,0.0
coreset_only_random_200,3,"[0.9985815602836879, 0.767384916748286, 0.9562433297758804]",0.9074032689359516,0.0,0.0
coreset_only_random_200,4,"[0.8912529550827423, 0.8256611165523996, 0.8762006403415155, 0.9818731117824774]",0.8937469559397836,0.0,0.0
coreset_only_random_200,5,"[0.9777777777777777, 0.8589618021547503, 0.9525080042689434, 0.9718026183282981, 0.9152798789712556]",0.9352660163002048,2.816112707108028,-1.816112707108028
coreset_only_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
coreset_only_k-center_200,2,"[0.9952718676122931, 0.9534769833496572]",0.9743744254809752,0.0,0.0
coreset_only_k-center_200,3,"[0.9919621749408983, 0.861900097943193, 0.8911419423692636]",0.9150014050844516,0.0,0.0
coreset_only_k-center_200,4,"[0.9947990543735225, 0.9098922624877571, 0.8569903948772679, 0.9174219536757301]",0.9197759163535694,0.0,0.0
coreset_only_k-center_200,5,"[0.9234042553191489, 0.9128305582761999, 0.8356456776947705, 0.8972809667673716, 0.713565305093293]",0.8565453526301567,2.8490273821228262,-1.8490273821228265
coreset_only_pca-k-center_200,1,[0.9990543735224586],0.9990543735224586,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.9966903073286052, 0.9422135161606269]",0.969451911744616,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.9385342789598109, 0.757590597453477, 0.935965848452508]",0.8773635749552652,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.642080378250591, 0.6973555337904016, 0.8703308431163287, 0.974320241691843]",0.7960217492122911,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.759338061465721, 0.5631733594515181, 0.7865528281750267, 0.9244712990936556, 0.8946041351487645]",0.7856279366669372,2.744353548067256,-1.7443535480672558
vcl_class_balanced_200,1,[0.9995271867612293],0.9995271867612292,,
vcl_class_balanced_200,2,"[0.9995271867612293, 0.9294809010773751]",0.9645040439193022,,
vcl_class_balanced_200,3,"[0.9995271867612293, 0.951028403525955, 0.9509071504802561]",0.96715424692248,,
vcl_class_balanced_200,4,"[0.9995271867612293, 0.9485798237022527, 0.9471718249733191, 0.9627391742195368]",0.9645045024140844,,
vcl_class_balanced_200,5,"[0.9995271867612293, 0.9480901077375122, 0.9727854855923159, 0.9310171198388721, 0.8144225920322743]",0.9331684983924408,,
